GenusID,GenusName,DecayTime
49,Caenis,6.87085390450013
47,Baetis,6.35695500027346
28,Rhithrogena,6.06330789872036
43,Leuctra,5.98833817904532
45,Rhyacophila,3.70822382266038
5,Annitella,2.7700432347617
48,Ecdyonurus,2.45986236226064
13,Limnephilus,2.20875551678721
25,Chaetopteryx,2.17488371426632
9,Zwicknia,1.8820096439178
38,Chloroperla,1.85595536837112
2,Ecnomus,1.78283635420275
8,Paraleptophlebia,1.62486109046182
39,Hydropsyche,1.56132815316452
32,Sericostoma,1.50975373253555
27,Allogamus,1.46854483921854
3,Allotrichia,1.29929095325819
4,Pseudopsilopteryx,1.27688601143943
40,Perla,1.1921083114813
20,Amphinemura,1.19125929053051
10,Ephemerella,1.10008330273126
7,Glossosoma,1.09235197729043
24,Odontocerum,1.01509430392831
11,Potamophylax,0.989860212571442
1,Ameletus,0.982790173155075
17,Wormaldia,0.965286639816374
12,Rhabdiopteryx,0.896043103945743
35,Epeorus,0.881732463730104
26,Drusus,0.871257713210535
41,Dinocras,0.816020637744774
33,Electrogena,0.802523619794718
36,Melampophylax,0.775912477316514
44,Takobia,0.697830691178421
19,Lepidostoma,0.669445666549736
30,Ephemera,0.631976028879214
21,Cloeon,0.63105167980201
6,Ernodes,0.616874244447082
42,Perlodes,0.570728821695969
34,Nemurella,0.532873464637424
22,Siphlonurus,0.513258123586428
37,Hydroptila,0.506694984083982
46,Isoperla,0.3901288224549
29,Philopotamus,0.353163004974209
18,Nemoura,0.342951036360576
23,Crunoecia,0.329874542155516
50,Protonemura,0.292162796787447
16,Synagapetus,0.256465935904987
31,Habroleptoides,0.223662266461523
14,Athripsodes,0.185968492972709
15,Halesus,0.159850102594754
