HabroleptoidesDensity,ProtonemuraDensity,AthripsodesDensity,HabroleptoidesDetProb,ProtonemuraDetProb,AthripsodesDetProb
0.453512790943248,1.80224686626648e-09,4.21998087300169e-14,0.998635353001864,5.54222009385395e-06,3.89928493892414e-11
0.683639708225351,3.51559147808187e-09,1.90559107563104e-14,0.998131030843782,6.37350435304644e-06,7.18965766678646e-12
0.147896967267359,1.6018730982027e-09,9.15329603281535e-14,0.998564812797318,9.59549068709579e-06,3.49438368496205e-10
0.56482914068438,4.68739435526699e-09,2.84542991132123e-14,0.994863571497193,4.60975370381428e-06,3.92439997418685e-12
0.606709167689222,1.39976359993559e-09,2.03259930135106e-14,0.99860471489424,3.40151643270975e-06,1.28370210155532e-11
0.531141701895409,5.12730285168158e-10,7.72325159797501e-14,0.999122097807656,1.84246409757859e-06,1.05837953335889e-10
2.53983646642154,3.50442382607038e-10,1.65576494418965e-12,0.999952984038226,4.12502125081234e-06,1.03296013906915e-08
0.122332933777239,3.73902504688842e-09,8.74983271742855e-14,0.986452685148232,5.30145917239307e-06,2.4592379964216e-11
0.00302224026868113,5.04216665638258e-10,1.1676338955234e-13,0.896930792313994,2.18994479732048e-06,2.35657917405368e-10
3.11262935781627,4.27271230840779e-10,1.66640548563503e-12,0.999948385868371,4.46930468657303e-06,6.62150340776188e-09
3.17921750407718,9.7784333502041e-10,1.07297502045229e-12,0.999989678473087,3.22344196257396e-05,3.05501248331609e-08
3.772715928796,1.78934504893954e-09,4.22035821095155e-13,0.999971299074539,2.45206593223511e-05,2.77078720957772e-09
0.00235963793153249,4.21240656188695e-09,1.205764061922e-13,0.770603054031642,6.14540348008625e-06,1.68064029399984e-10
3.05082889231463,1.98958253725999e-10,1.190294123611e-12,0.999900309508551,1.19183030108155e-06,2.32959508780246e-09
0.0607007649630344,4.0534573577978e-11,8.20736408011413e-14,0.990497258418723,7.21497386214788e-08,1.36624530842026e-10
0.0215527360040159,4.28987765971628e-10,1.58264252749706e-12,0.980860530470584,1.79535625038057e-06,2.30832840680407e-09
0.0864883719452009,1.96874364904036e-09,5.25084450765199e-14,0.994153875923288,7.05639395380259e-06,6.14361937929404e-11
0.589178828458967,4.19426346265002e-09,1.17083525924884e-14,0.99929825702566,1.66965757590072e-05,1.83832539188333e-11
2.79805379654804,8.22090478007809e-10,7.63883302371897e-13,0.999976880532437,1.70797336627199e-05,9.14473580410987e-09
0.0614392889925045,4.61363246305264e-09,2.89768682913489e-14,0.996027566551474,2.46883574954659e-05,9.35570848926972e-11
2.01889767187091,3.30107035380138e-10,2.34026147296164e-12,0.999982690426242,1.27754840951701e-05,5.15810036342178e-08
0.00247583492693629,7.21153044379074e-10,5.14368428203787e-14,0.91131695457867,3.85849159615605e-06,1.71412006430963e-10
2.77524372746402,8.47868521523778e-10,8.10180603778314e-13,0.999991821012965,4.34001629573226e-05,3.13490876755766e-08
0.418778323587631,1.35240036429542e-09,1.74913672205469e-14,0.999132397150572,6.0196486132671e-06,3.17199514453082e-11
0.144373817108333,1.98091192716432e-10,2.78521311397747e-14,0.998596559012382,1.17670591429643e-06,1.1680439460793e-10
0.417746329145605,2.77371165005383e-09,3.52829530450003e-13,0.999935238728945,0.000109593104693907,1.23088174773458e-08
0.352338577922591,1.00359823030865e-09,2.30967119162526e-12,0.999058023928643,5.98561147008961e-06,3.84964426437122e-09
0.0211236424409962,1.24695919525536e-11,2.41402208501251e-14,0.980984078285006,3.22577911555426e-08,5.60917471443594e-11
10.9351796054015,1.08885105610102e-10,2.81373054057335e-11,0.999994773568389,2.55540515528087e-06,3.81947548171597e-07
0.0842908198019198,1.87880058808174e-09,6.99358477716435e-15,0.996188796286821,8.82405101830763e-06,1.51473976230654e-11
0.0113930879251568,1.39357658809769e-14,2.2713232131107e-15,0.950952879954345,4.39331060039295e-11,2.26834462331094e-12
0.483217755970358,1.80775792876441e-10,5.04594250360537e-12,0.999898399065732,4.94308587191704e-06,7.96618309533436e-08
0.0177280500684857,1.12023437162087e-09,6.04841640515921e-14,0.98368784316588,5.6328146511553e-06,1.46754964849504e-10
0.137737921189187,2.84101224301483e-10,1.24479207572284e-13,0.995124927092422,9.14109242411963e-07,9.43800825119842e-11
8.4820920208384,3.31999990933468e-10,3.61789016534899e-11,0.999976203672942,2.89993686665387e-06,1.09781515317634e-07
0.00217547513962571,7.85099767401299e-11,4.98662482511471e-14,0.902887169518291,4.32999846699093e-07,1.70945612727811e-10
0.0197710829470737,4.39467373020665e-10,1.72788692753244e-14,0.983751175755415,1.43451832669126e-06,5.00680779608709e-11
0.0201886324198501,6.61904972439697e-10,9.40990453972295e-14,0.98880817996892,3.76336002996792e-06,3.28410061399824e-10
0.0234826536449783,5.22722872076654e-11,2.41063112333666e-12,0.980213169425701,2.24334107274091e-07,2.75229671620311e-09
0.570073587887492,4.45726754756065e-10,2.50843169855253e-13,0.999952128265285,1.81725021796283e-05,8.38054174417473e-09
0.0208597571505224,1.53437277059722e-10,6.25474834333666e-14,0.989269778312514,9.09603791210177e-07,2.14467879001994e-10
2.452284610107,8.43129550503399e-10,4.24350521450971e-11,0.999974786954489,1.78727622579728e-05,5.4316141096214e-07
0.0837729457273635,2.36294525657467e-10,1.62324899913429e-13,0.702410627221312,3.77631153486592e-08,1.02011403900342e-12
0.00692081808071842,3.72952435553127e-10,5.53047981743907e-14,0.970754158508489,2.25853175889798e-06,2.16815088893404e-10
8.10476534937234e-07,1.54755341890634e-19,1.97707167269576e-16,0.00281686378305867,7.23122318777561e-16,5.34822257203749e-13
0.176101240494409,1.68695724009168e-10,4.40056013091855e-13,0.999301322671454,2.01398826822791e-06,2.56176285857691e-09
0.0319577891008479,7.30236856268274e-10,4.91853002343652e-14,0.987330455775289,2.89547406627171e-06,7.87839573645315e-11
1.91468755513796,2.00966687338604e-10,4.67318409264325e-11,0.999981000835567,7.20264446249087e-06,1.02134420773775e-06
0.181990199732477,2.97940803152321e-11,4.42797705057271e-12,0.999453731328399,4.9905598318281e-07,2.86316360120142e-08
11.5091803672166,3.1709776743405e-11,2.51543153277062e-05,0.999923995977674,8.00500626278641e-08,0.0142886607950081
2.77623204241176,1.24577499010674e-10,4.36819703100531e-05,0.999867073778011,5.82174396757608e-07,0.0687962312931678
0.0852599963295423,0.00145821192734355,1.1552601312924e-14,0.262198305494514,0.051282644077112,7.28052263127751e-15
0.00347412027512995,2.55829048685169e-15,6.23410005485962e-14,0.947581380850758,2.08066611482907e-11,2.20484124853852e-10
0.0618805957482618,3.12798794387455e-11,6.79355257310583e-14,0.996360461029069,1.88907254885423e-07,2.29647025120392e-10
0.00255718560770511,1.1285015511242e-10,8.2619139279158e-14,0.819341643057253,3.64842686500622e-07,8.71969425986515e-11
0.491209748994461,2.76601674918529e-10,1.3261964068833e-13,0.999060453837775,1.16508596158504e-06,1.61470179545694e-10
1.94853038287474,6.07807608681443e-10,4.82352878373375e-11,0.999855418262929,4.36062194187398e-06,9.3160983049532e-08
1.10074694582749,2.44860826515904e-11,2.02673946179657e-12,0.998877718475445,5.74792042640003e-08,6.52190785228994e-10
0.0141470316256255,9.52367108407455e-11,7.62996212610278e-14,0.977880497909705,4.36265498189206e-07,1.71306541906892e-10
1.24063499707063,0.00215306981564232,1.02786993878468e-14,0.999653299965192,0.893554437870132,1.52739776994656e-11
6.96619500557362,1.75230798630599e-10,5.18243742121728e-11,0.999995998710988,7.12479978380901e-06,1.66855294275332e-06
1.39282246848959e-05,1.36304827710379e-09,1.37505797310661e-13,0.0648063543736553,8.49588272554057e-06,5.63020457378497e-10
4.1159848631893e-05,2.81360479287602e-17,2.5408875132961e-15,0.0761013545821862,1.02629466894822e-13,3.02617358174946e-12
0.444548977470656,0.00328031124605157,8.38525699163218e-15,0.998798852514669,0.91939282518945,9.17727234300907e-12
0.0215184998905308,1.01771491793113e-10,1.05844567202116e-12,0.909810895083433,1.59388647327572e-07,1.74901078568147e-10
0.037970013111311,6.18864911846934e-11,6.25535071081992e-14,0.994692259753737,3.89589204935463e-07,2.50170773581658e-10
10.7882245673856,2.54525455998489e-10,1.126734989307e-11,0.999956676217155,1.44269057612284e-06,1.03831038044125e-08
4.87325809732769e-28,1.81761734805099e-42,8.20789193343422e-16,2.50854964811106e-25,3.0771513623327e-39,1.50957616640252e-13
0.0789958911736038,0.000369568838678168,2.34993705748965e-14,0.533028869199201,0.0343805026356994,6.58581939305801e-14
0.0150549246335606,0.000545250379094826,1.06707379690176e-13,0.978167741548118,0.748265925626989,1.88178981387895e-10
3.2844227034481,0.000458996871391113,4.92142672913226e-13,0.999982297003501,0.898301765751798,7.68032058678256e-09
4.49324239885867,9.09438368294756e-13,3.77023596984801e-05,0.99800610397936,4.04662126436553e-10,0.00126689656230496
0.152800607998126,0.000335372239272396,1.55534485713679e-14,0.832634425353562,0.0550464557449266,1.19094743431769e-13
26.5283286515813,6.00808695786203e-12,0.000797548077545092,0.999458980708294,2.05593446871273e-09,0.0138297533246076
